Time,Starthour,Endhour,Unit,Data
2023-03-15,17:00,17:15,MW,52.792
2023-03-15,17:15,17:30,MW,70.444
2023-03-15,17:30,17:45,MW,0.000072
2023-03-15,17:45,18:00,MW,0.000008
2023-03-15,18:00,18:15,MW,673.768
2023-03-15,18:15,18:30,MW,372.848
2023-03-15,18:30,18:45,MW,219.74
2023-03-15,18:45,19:00,MW,0.000032
2023-03-15,19:00,19:15,MW,0.00012
2023-03-15,19:15,19:30,MW,0
2023-03-15,19:30,19:45,MW,0
2023-03-15,19:45,20:00,MW,0
2023-03-15,20:00,20:15,MW,0
2023-03-15,20:15,20:30,MW,81.144
2023-03-15,20:30,20:45,MW,106.284
2023-03-15,20:45,21:00,MW,73.536
2023-03-15,21:00,21:15,MW,105.128
2023-03-15,21:15,21:30,MW,45.124
2023-03-15,21:30,21:45,MW,13.456
2023-03-15,21:45,22:00,MW,5.904
2023-03-15,22:00,22:15,MW,0
2023-03-15,22:15,22:30,MW,0
2023-03-15,22:30,22:45,MW,18.52
2023-03-15,22:45,23:00,MW,47.012
2023-03-15,23:00,23:15,MW,24.216
2023-03-15,23:15,23:30,MW,0.000108
2023-03-15,23:30,23:45,MW,0.0001
2023-03-15,23:45,00:00,MW,3.884
2023-03-16,00:00,00:15,MW,0
2023-03-16,00:15,00:30,MW,5.624
2023-03-16,00:30,00:45,MW,14.096
2023-03-16,00:45,01:00,MW,2.008
2023-03-16,01:00,01:15,MW,0
2023-03-16,01:15,01:30,MW,0.00018
2023-03-16,01:30,01:45,MW,3.428
2023-03-16,01:45,02:00,MW,19.852
2023-03-16,02:00,02:15,MW,43.488
2023-03-16,02:15,02:30,MW,378.912
2023-03-16,02:30,02:45,MW,197.056
2023-03-16,02:45,03:00,MW,57.28
2023-03-16,03:00,03:15,MW,22.048
2023-03-16,03:15,03:30,MW,0
2023-03-16,03:30,03:45,MW,0
2023-03-16,03:45,04:00,MW,0
2023-03-16,04:00,04:15,MW,0.000292
2023-03-16,04:15,04:30,MW,8.056
2023-03-16,04:30,04:45,MW,60.584
2023-03-16,04:45,05:00,MW,111.476
2023-03-16,05:00,05:15,MW,207.756
2023-03-16,05:15,05:30,MW,120.904
2023-03-16,05:30,05:45,MW,23.984
2023-03-16,05:45,06:00,MW,73.62
2023-03-16,06:00,06:15,MW,96.18
2023-03-16,06:15,06:30,MW,4.024
2023-03-16,06:30,06:45,MW,189.52
2023-03-16,06:45,07:00,MW,41.244
2023-03-16,07:00,07:15,MW,248.48
2023-03-16,07:15,07:30,MW,664.62
2023-03-16,07:30,07:45,MW,631.068
2023-03-16,07:45,08:00,MW,690.82
2023-03-16,08:00,08:15,MW,210.212
2023-03-16,08:15,08:30,MW,406.896
2023-03-16,08:30,08:45,MW,662.088
2023-03-16,08:45,09:00,MW,632.948
2023-03-16,09:00,09:15,MW,531.6
2023-03-16,09:15,09:30,MW,764.424
2023-03-16,09:30,09:45,MW,1017.928
2023-03-16,09:45,10:00,MW,1288.204
2023-03-16,10:00,10:15,MW,614.808
2023-03-16,10:15,10:30,MW,701.668
2023-03-16,10:30,10:45,MW,1187.42
2023-03-16,10:45,11:00,MW,1219.232
2023-03-16,11:00,11:15,MW,1086.188
2023-03-16,11:15,11:30,MW,788.764
2023-03-16,11:30,11:45,MW,981.728
2023-03-16,11:45,12:00,MW,888.696
2023-03-16,12:00,12:15,MW,686.428
2023-03-16,12:15,12:30,MW,1000.704
2023-03-16,12:30,12:45,MW,203.096
2023-03-16,12:45,13:00,MW,873.16
2023-03-16,13:00,13:15,MW,156.804
2023-03-16,13:15,13:30,MW,707.86
2023-03-16,13:30,13:45,MW,720.316
2023-03-16,13:45,14:00,MW,524.052
2023-03-16,14:00,14:15,MW,490.684
2023-03-16,14:15,14:30,MW,277.164
2023-03-16,14:30,14:45,MW,321.58
2023-03-16,14:45,15:00,MW,555.172
2023-03-16,15:00,15:15,MW,462.776
2023-03-16,15:15,15:30,MW,32.424
2023-03-16,15:30,15:45,MW,53.224
2023-03-16,15:45,16:00,MW,271.324
2023-03-16,16:00,16:15,MW,416.108
2023-03-16,16:15,16:30,MW,61.1
2023-03-16,16:30,16:45,MW,0
2023-03-16,16:45,17:00,MW,2.652
2023-03-16,17:00,17:15,MW,59.744
2023-03-16,17:15,17:30,MW,0.000528
2023-03-16,17:30,17:45,MW,23.016
2023-03-16,17:45,18:00,MW,283.324
2023-03-16,18:00,18:15,MW,787.256
2023-03-16,18:15,18:30,MW,650.504
2023-03-16,18:30,18:45,MW,563.448
2023-03-16,18:45,19:00,MW,139.428
2023-03-16,19:00,19:15,MW,1.72
2023-03-16,19:15,19:30,MW,0
2023-03-16,19:30,19:45,MW,13.624
2023-03-16,19:45,20:00,MW,42.404
2023-03-16,20:00,20:15,MW,259.976
2023-03-16,20:15,20:30,MW,147.524
2023-03-16,20:30,20:45,MW,41.856
2023-03-16,20:45,21:00,MW,7.504
2023-03-16,21:00,21:15,MW,4.584
2023-03-16,21:15,21:30,MW,37.992
2023-03-16,21:30,21:45,MW,68.032
2023-03-16,21:45,22:00,MW,80.612
2023-03-16,22:00,22:15,MW,5.168
2023-03-16,22:15,22:30,MW,4.972
2023-03-16,22:30,22:45,MW,26.604
2023-03-16,22:45,23:00,MW,27.444
2023-03-16,23:00,23:15,MW,0
2023-03-16,23:15,23:30,MW,53.584
2023-03-16,23:30,23:45,MW,53.28
2023-03-16,23:45,00:00,MW,18.956
2023-03-17,00:00,00:15,MW,0.00052
2023-03-17,00:15,00:30,MW,1.056
2023-03-17,00:30,00:45,MW,0.000012
2023-03-17,00:45,01:00,MW,0
2023-03-17,01:00,01:15,MW,0
2023-03-17,01:15,01:30,MW,13.736
2023-03-17,01:30,01:45,MW,10.572
2023-03-17,01:45,02:00,MW,3.344
2023-03-17,02:00,02:15,MW,0
2023-03-17,02:15,02:30,MW,0
2023-03-17,02:30,02:45,MW,0.000168
2023-03-17,02:45,03:00,MW,3.356
2023-03-17,03:00,03:15,MW,0
2023-03-17,03:15,03:30,MW,0
2023-03-17,03:30,03:45,MW,0
2023-03-17,03:45,04:00,MW,0
2023-03-17,04:00,04:15,MW,4.848
2023-03-17,04:15,04:30,MW,21.7
2023-03-17,04:30,04:45,MW,7.428
2023-03-17,04:45,05:00,MW,0
2023-03-17,05:00,05:15,MW,0.000052
2023-03-17,05:15,05:30,MW,0
2023-03-17,05:30,05:45,MW,0
2023-03-17,05:45,06:00,MW,0
2023-03-17,06:00,06:15,MW,2.424
2023-03-17,06:15,06:30,MW,0
2023-03-17,06:30,06:45,MW,0
2023-03-17,06:45,07:00,MW,11.536
2023-03-17,07:00,07:15,MW,43.288
2023-03-17,07:15,07:30,MW,134.16
2023-03-17,07:30,07:45,MW,398.32
2023-03-17,07:45,08:00,MW,412.98
2023-03-17,08:00,08:15,MW,265.548
2023-03-17,08:15,08:30,MW,205.02
2023-03-17,08:30,08:45,MW,150.892
2023-03-17,08:45,09:00,MW,341.936
2023-03-17,09:00,09:15,MW,90.836
2023-03-17,09:15,09:30,MW,1.376
2023-03-17,09:30,09:45,MW,466.144
2023-03-17,09:45,10:00,MW,855.216
2023-03-17,10:00,10:15,MW,699.012
2023-03-17,10:15,10:30,MW,779.112
2023-03-17,10:30,10:45,MW,749.128
2023-03-17,10:45,11:00,MW,373.216
2023-03-17,11:00,11:15,MW,42.544
2023-03-17,11:15,11:30,MW,0
2023-03-17,11:30,11:45,MW,13.888
2023-03-17,11:45,12:00,MW,172.932
2023-03-17,12:00,12:15,MW,1042.732
2023-03-17,12:15,12:30,MW,921.872
2023-03-17,12:30,12:45,MW,569.328
2023-03-17,12:45,13:00,MW,199.452
2023-03-17,13:00,13:15,MW,333.936
2023-03-17,13:15,13:30,MW,157.472
2023-03-17,13:30,13:45,MW,7.824
2023-03-17,13:45,14:00,MW,43.236
2023-03-17,14:00,14:15,MW,101.644
2023-03-17,14:15,14:30,MW,0
2023-03-17,14:30,14:45,MW,0
2023-03-17,14:45,15:00,MW,0
2023-03-17,15:00,15:15,MW,0
2023-03-17,15:15,15:30,MW,0
2023-03-17,15:30,15:45,MW,0
2023-03-17,15:45,16:00,MW,0
2023-03-17,16:00,16:15,MW,8.108
2023-03-17,16:15,16:30,MW,111.696
2023-03-17,16:30,16:45,MW,0.000004
2023-03-17,16:45,17:00,MW,0.000004
2023-03-17,17:00,17:15,MW,0.000504
2023-03-17,17:15,17:30,MW,21.624
2023-03-17,17:30,17:45,MW,2.572
2023-03-17,17:45,18:00,MW,6.14
2023-03-17,18:00,18:15,MW,306.412
2023-03-17,18:15,18:30,MW,7.48
2023-03-17,18:30,18:45,MW,2.604
2023-03-17,18:45,19:00,MW,2.088
2023-03-17,19:00,19:15,MW,55.336
2023-03-17,19:15,19:30,MW,160.02
2023-03-17,19:30,19:45,MW,76.32
