Time,Starthour,Endhour,Unit,Data
2023-03-15,23:45,00:00,MW,22.928
2023-03-16,00:00,00:15,MW,61.588
2023-03-16,00:15,00:30,MW,120.216
2023-03-16,00:30,00:45,MW,10.224
2023-03-16,00:45,01:00,MW,0.000004
2023-03-16,01:00,01:15,MW,278.536
2023-03-16,01:15,01:30,MW,143.012
2023-03-16,01:30,01:45,MW,124.984
2023-03-16,01:45,02:00,MW,15.02
2023-03-16,02:00,02:15,MW,6.808
2023-03-16,02:15,02:30,MW,0
2023-03-16,02:30,02:45,MW,0.000016
2023-03-16,02:45,03:00,MW,0
2023-03-16,03:00,03:15,MW,22.092
2023-03-16,03:15,03:30,MW,3.716
2023-03-16,03:30,03:45,MW,0.000028
2023-03-16,03:45,04:00,MW,0.000004
2023-03-16,04:00,04:15,MW,0.000384
2023-03-16,04:15,04:30,MW,0.000292
2023-03-16,04:30,04:45,MW,0.000068
2023-03-16,04:45,05:00,MW,0.000008
2023-03-16,05:00,05:15,MW,0
2023-03-16,05:15,05:30,MW,0
2023-03-16,05:30,05:45,MW,21.872
2023-03-16,05:45,06:00,MW,57.508
2023-03-16,06:00,06:15,MW,139.084
2023-03-16,06:15,06:30,MW,50.272
2023-03-16,06:30,06:45,MW,34.856
2023-03-16,06:45,07:00,MW,6.376
2023-03-16,07:00,07:15,MW,5.572
2023-03-16,07:15,07:30,MW,0
2023-03-16,07:30,07:45,MW,0
2023-03-16,07:45,08:00,MW,0
2023-03-16,08:00,08:15,MW,0
2023-03-16,08:15,08:30,MW,0
2023-03-16,08:30,08:45,MW,0
2023-03-16,08:45,09:00,MW,0
2023-03-16,09:00,09:15,MW,7.892
2023-03-16,09:15,09:30,MW,0
2023-03-16,09:30,09:45,MW,0
2023-03-16,09:45,10:00,MW,0
2023-03-16,10:00,10:15,MW,0
2023-03-16,10:15,10:30,MW,0.000772
2023-03-16,10:30,10:45,MW,0
2023-03-16,10:45,11:00,MW,0
2023-03-16,11:00,11:15,MW,0
2023-03-16,11:15,11:30,MW,0
2023-03-16,11:30,11:45,MW,0
2023-03-16,11:45,12:00,MW,0
2023-03-16,12:00,12:15,MW,0
2023-03-16,12:15,12:30,MW,0
2023-03-16,12:30,12:45,MW,0.000312
2023-03-16,12:45,13:00,MW,0
2023-03-16,13:00,13:15,MW,0
2023-03-16,13:15,13:30,MW,0
2023-03-16,13:30,13:45,MW,0
2023-03-16,13:45,14:00,MW,0
2023-03-16,14:00,14:15,MW,0
2023-03-16,14:15,14:30,MW,0
2023-03-16,14:30,14:45,MW,0
2023-03-16,14:45,15:00,MW,0
2023-03-16,15:00,15:15,MW,0.000436
2023-03-16,15:15,15:30,MW,15.672
2023-03-16,15:30,15:45,MW,66.688
2023-03-16,15:45,16:00,MW,32.144
2023-03-16,16:00,16:15,MW,0.000512
2023-03-16,16:15,16:30,MW,165.712
2023-03-16,16:30,16:45,MW,245.928
2023-03-16,16:45,17:00,MW,482.332
2023-03-16,17:00,17:15,MW,15.84
2023-03-16,17:15,17:30,MW,115.132
2023-03-16,17:30,17:45,MW,25.404
2023-03-16,17:45,18:00,MW,8.872
2023-03-16,18:00,18:15,MW,0
2023-03-16,18:15,18:30,MW,0
2023-03-16,18:30,18:45,MW,0
2023-03-16,18:45,19:00,MW,64.064
2023-03-16,19:00,19:15,MW,7.112
2023-03-16,19:15,19:30,MW,0.000076
2023-03-16,19:30,19:45,MW,0.000016
2023-03-16,19:45,20:00,MW,0
2023-03-16,20:00,20:15,MW,0
2023-03-16,20:15,20:30,MW,0.000004
2023-03-16,20:30,20:45,MW,0.000012
2023-03-16,20:45,21:00,MW,0.000064
2023-03-16,21:00,21:15,MW,157.232
2023-03-16,21:15,21:30,MW,37.98
2023-03-16,21:30,21:45,MW,0
2023-03-16,21:45,22:00,MW,0
2023-03-16,22:00,22:15,MW,0
2023-03-16,22:15,22:30,MW,0
2023-03-16,22:30,22:45,MW,33.22
2023-03-16,22:45,23:00,MW,0.000212
2023-03-16,23:00,23:15,MW,263.98
2023-03-16,23:15,23:30,MW,2.884
2023-03-16,23:30,23:45,MW,91.528
2023-03-16,23:45,00:00,MW,1.304
2023-03-17,00:00,00:15,MW,138.192
2023-03-17,00:15,00:30,MW,75.448
2023-03-17,00:30,00:45,MW,12.996
2023-03-17,00:45,01:00,MW,0
2023-03-17,01:00,01:15,MW,65.584
2023-03-17,01:15,01:30,MW,24.908
2023-03-17,01:30,01:45,MW,25.86
2023-03-17,01:45,02:00,MW,0.000004
2023-03-17,02:00,02:15,MW,122.36
2023-03-17,02:15,02:30,MW,85.672
2023-03-17,02:30,02:45,MW,8.34
2023-03-17,02:45,03:00,MW,146.092
2023-03-17,03:00,03:15,MW,490.56
2023-03-17,03:15,03:30,MW,369.152
2023-03-17,03:30,03:45,MW,232.032
2023-03-17,03:45,04:00,MW,167.896
2023-03-17,04:00,04:15,MW,16.812
2023-03-17,04:15,04:30,MW,19.536
2023-03-17,04:30,04:45,MW,26.04
2023-03-17,04:45,05:00,MW,15.52
2023-03-17,05:00,05:15,MW,507.192
2023-03-17,05:15,05:30,MW,159.46
2023-03-17,05:30,05:45,MW,134.768
2023-03-17,05:45,06:00,MW,90.756
2023-03-17,06:00,06:15,MW,527.492
2023-03-17,06:15,06:30,MW,555.2
2023-03-17,06:30,06:45,MW,506.796
2023-03-17,06:45,07:00,MW,35.124
2023-03-17,07:00,07:15,MW,0
2023-03-17,07:15,07:30,MW,0
2023-03-17,07:30,07:45,MW,0
2023-03-17,07:45,08:00,MW,0
2023-03-17,08:00,08:15,MW,0
2023-03-17,08:15,08:30,MW,0
2023-03-17,08:30,08:45,MW,0
2023-03-17,08:45,09:00,MW,0
2023-03-17,09:00,09:15,MW,34.764
2023-03-17,09:15,09:30,MW,143.268
2023-03-17,09:30,09:45,MW,0.000068
2023-03-17,09:45,10:00,MW,0
2023-03-17,10:00,10:15,MW,0
2023-03-17,10:15,10:30,MW,0
2023-03-17,10:30,10:45,MW,0
2023-03-17,10:45,11:00,MW,0.0007
2023-03-17,11:00,11:15,MW,55.996
2023-03-17,11:15,11:30,MW,126.016
2023-03-17,11:30,11:45,MW,104.284
2023-03-17,11:45,12:00,MW,1.952
2023-03-17,12:00,12:15,MW,0
2023-03-17,12:15,12:30,MW,0
2023-03-17,12:30,12:45,MW,0
2023-03-17,12:45,13:00,MW,0.000008
2023-03-17,13:00,13:15,MW,0.000024
2023-03-17,13:15,13:30,MW,0
2023-03-17,13:30,13:45,MW,66.852
2023-03-17,13:45,14:00,MW,72.164
2023-03-17,14:00,14:15,MW,23.06
2023-03-17,14:15,14:30,MW,107.052
2023-03-17,14:30,14:45,MW,274.276
