Time,Nominal,Moderate,Data
8.200000000000000000e+01,1.038921186602537148e+02,1.007823076923076826e+02,1.048780117596612058e+02
8.300000000000000000e+01,9.583004134714623490e+01,9.567115384615385665e+01,9.588041292677763749e+01
8.300000000000000000e+01,9.583004134714623490e+01,9.567115384615385665e+01,9.588041292677763749e+01
8.300000000000000000e+01,9.583004134714623490e+01,9.567115384615385665e+01,9.588041292677763749e+01
8.300000000000000000e+01,9.583004134714623490e+01,9.567115384615385665e+01,9.588041292677763749e+01
8.400000000000000000e+01,8.521933081917197228e+01,8.894423076923079918e+01,8.403843809141501708e+01
8.400000000000000000e+01,8.521933081917197228e+01,8.894423076923079918e+01,8.403843809141501708e+01
8.400000000000000000e+01,8.521933081917197228e+01,8.894423076923079918e+01,8.403843809141501708e+01
8.400000000000000000e+01,8.521933081917197228e+01,8.894423076923079918e+01,8.403843809141501708e+01
8.500000000000000000e+01,8.412003936824632433e+01,8.824730769230771443e+01,8.281158512390916826e+01
8.500000000000000000e+01,8.412003936824632433e+01,8.824730769230771443e+01,8.281158512390916826e+01
8.500000000000000000e+01,8.412003936824632433e+01,8.824730769230771443e+01,8.281158512390916826e+01
8.500000000000000000e+01,8.412003936824632433e+01,8.824730769230771443e+01,8.281158512390916826e+01
8.600000000000000000e+01,9.238353211275961030e+01,9.348615384615385437e+01,9.203397158660065713e+01
8.600000000000000000e+01,9.238353211275961030e+01,9.348615384615385437e+01,9.203397158660065713e+01
8.600000000000000000e+01,9.238353211275961030e+01,9.348615384615385437e+01,9.203397158660065713e+01
8.600000000000000000e+01,9.238353211275961030e+01,9.348615384615385437e+01,9.203397158660065713e+01
8.700000000000000000e+01,1.057036441969336380e+02,1.019307692307692434e+02,1.068997462855842286e+02
8.700000000000000000e+01,1.057036441969336380e+02,1.019307692307692434e+02,1.068997462855842286e+02
8.700000000000000000e+01,1.057036441969336380e+02,1.019307692307692434e+02,1.068997462855842286e+02
8.700000000000000000e+01,1.057036441969336380e+02,1.019307692307692434e+02,1.068997462855842286e+02
8.800000000000000000e+01,1.257939234701830600e+02,1.146675000000000040e+02,1.293212967521623682e+02
8.800000000000000000e+01,1.257939234701830600e+02,1.146675000000000040e+02,1.293212967521623682e+02
8.800000000000000000e+01,1.257939234701830600e+02,1.146675000000000040e+02,1.293212967521623682e+02
8.800000000000000000e+01,1.257939234701830600e+02,1.146675000000000040e+02,1.293212967521623682e+02
8.900000000000000000e+01,1.575168539165968298e+02,1.347790384615385051e+02,1.647253484469087539e+02
8.900000000000000000e+01,1.575168539165968298e+02,1.347790384615385051e+02,1.647253484469087539e+02
8.900000000000000000e+01,1.575168539165968298e+02,1.347790384615385051e+02,1.647253484469087539e+02
8.900000000000000000e+01,1.575168539165968298e+02,1.347790384615385051e+02,1.647253484469087539e+02
9.000000000000000000e+01,1.863568743327683706e+02,1.530628846153846041e+02,1.969119579222356720e+02
9.000000000000000000e+01,1.863568743327683706e+02,1.530628846153846041e+02,1.969119579222356720e+02
9.000000000000000000e+01,1.863568743327683706e+02,1.530628846153846041e+02,1.969119579222356720e+02
9.000000000000000000e+01,1.863568743327683706e+02,1.530628846153846041e+02,1.969119579222356720e+02
9.100000000000000000e+01,1.680844906625535486e+02,1.414786538461538612e+02,1.765192512289088143e+02
9.100000000000000000e+01,1.680844906625535486e+02,1.414786538461538612e+02,1.765192512289088143e+02
9.100000000000000000e+01,1.680844906625535486e+02,1.414786538461538612e+02,1.765192512289088143e+02
9.100000000000000000e+01,1.680844906625535486e+02,1.414786538461538612e+02,1.765192512289088143e+02
9.200000000000000000e+01,1.410432556503524779e+02,1.243351923076923526e+02,1.463401577848482873e+02
9.200000000000000000e+01,1.410432556503524779e+02,1.243351923076923526e+02,1.463401577848482873e+02
9.200000000000000000e+01,1.410432556503524779e+02,1.243351923076923526e+02,1.463401577848482873e+02
9.200000000000000000e+01,1.410432556503524779e+02,1.243351923076923526e+02,1.463401577848482873e+02
9.300000000000000000e+01,1.234354822364780944e+02,1.131723076923076974e+02,1.266891825627700143e+02
9.300000000000000000e+01,1.234354822364780944e+02,1.131723076923076974e+02,1.266891825627700143e+02
9.300000000000000000e+01,1.234354822364780944e+02,1.131723076923076974e+02,1.266891825627700143e+02
9.300000000000000000e+01,1.234354822364780944e+02,1.131723076923076974e+02,1.266891825627700143e+02
9.400000000000000000e+01,1.077960593262066027e+02,1.032573076923077338e+02,1.092349647651249143e+02
9.400000000000000000e+01,1.077960593262066027e+02,1.032573076923077338e+02,1.092349647651249143e+02
9.400000000000000000e+01,1.077960593262066027e+02,1.032573076923077338e+02,1.092349647651249143e+02
9.400000000000000000e+01,1.077960593262066027e+02,1.032573076923077338e+02,1.092349647651249143e+02
9.500000000000000000e+01,9.415987061624211663e+01,9.461230769230770932e+01,9.401643598442468885e+01
9.500000000000000000e+01,9.415987061624211663e+01,9.461230769230770932e+01,9.401643598442468885e+01
9.500000000000000000e+01,9.415987061624211663e+01,9.461230769230770932e+01,9.401643598442468885e+01
9.500000000000000000e+01,9.415987061624211663e+01,9.461230769230770932e+01,9.401643598442468885e+01
9.600000000000000000e+01,8.375937227797298590e+01,8.801865384615386745e+01,8.240906631089470125e+01
9.600000000000000000e+01,8.375937227797298590e+01,8.801865384615386745e+01,8.240906631089470125e+01
9.600000000000000000e+01,8.375937227797298590e+01,8.801865384615386745e+01,8.240906631089470125e+01
9.600000000000000000e+01,8.375937227797298590e+01,8.801865384615386745e+01,8.240906631089470125e+01
9.700000000000000000e+01,7.770811257749957690e+01,8.418230769230770250e+01,7.565561988463254295e+01
9.700000000000000000e+01,7.770811257749957690e+01,8.418230769230770250e+01,7.565561988463254295e+01
9.700000000000000000e+01,7.770811257749957690e+01,8.418230769230770250e+01,7.565561988463254295e+01
9.700000000000000000e+01,7.770811257749957690e+01,8.418230769230770250e+01,7.565561988463254295e+01
9.800000000000000000e+01,7.432985405405622714e+01,8.204057692307695504e+01,7.188534905154412513e+01
9.800000000000000000e+01,7.432985405405622714e+01,8.204057692307695504e+01,7.188534905154412513e+01
9.800000000000000000e+01,7.432985405405622714e+01,8.204057692307695504e+01,7.188534905154412513e+01
9.800000000000000000e+01,7.432985405405622714e+01,8.204057692307695504e+01,7.188534905154412513e+01
9.900000000000000000e+01,7.398253376947842241e+01,8.182038461538462570e+01,7.149772580436027170e+01
9.900000000000000000e+01,7.398253376947842241e+01,8.182038461538462570e+01,7.149772580436027170e+01
9.900000000000000000e+01,7.398253376947842241e+01,8.182038461538462570e+01,7.149772580436027170e+01
9.900000000000000000e+01,7.398253376947842241e+01,8.182038461538462570e+01,7.149772580436027170e+01
1.000000000000000000e+02,8.036079020949313190e+01,8.586403846153845620e+01,7.861611359347317318e+01
1.000000000000000000e+02,8.036079020949313190e+01,8.586403846153845620e+01,7.861611359347317318e+01
1.000000000000000000e+02,8.036079020949313190e+01,8.586403846153845620e+01,7.861611359347317318e+01
1.000000000000000000e+02,8.036079020949313190e+01,8.586403846153845620e+01,7.861611359347317318e+01
1.010000000000000000e+02,1.059375166330990368e+02,1.020790384615384312e+02,1.071607572232074972e+02
1.010000000000000000e+02,1.059375166330990368e+02,1.020790384615384312e+02,1.071607572232074972e+02
1.010000000000000000e+02,1.059375166330990368e+02,1.020790384615384312e+02,1.071607572232074972e+02
1.010000000000000000e+02,1.059375166330990368e+02,1.020790384615384312e+02,1.071607572232074972e+02
1.020000000000000000e+02,1.300096940510231605e+02,1.173401923076923055e+02,1.340262643411237491e+02
1.020000000000000000e+02,1.300096940510231605e+02,1.173401923076923055e+02,1.340262643411237491e+02
1.020000000000000000e+02,1.300096940510231605e+02,1.173401923076923055e+02,1.340262643411237491e+02
1.020000000000000000e+02,1.300096940510231605e+02,1.173401923076923055e+02,1.340262643411237491e+02
1.030000000000000000e+02,1.380687379991998114e+02,1.224494230769230541e+02,1.430204778181367260e+02
1.030000000000000000e+02,1.380687379991998114e+02,1.224494230769230541e+02,1.430204778181367260e+02
1.030000000000000000e+02,1.380687379991998114e+02,1.224494230769230541e+02,1.430204778181367260e+02
1.030000000000000000e+02,1.380687379991998114e+02,1.224494230769230541e+02,1.430204778181367260e+02
1.040000000000000000e+02,1.313637881561368772e+02,1.181986538461538601e+02,1.355374872017601149e+02
1.040000000000000000e+02,1.313637881561368772e+02,1.181986538461538601e+02,1.355374872017601149e+02
1.040000000000000000e+02,1.313637881561368772e+02,1.181986538461538601e+02,1.355374872017601149e+02
1.040000000000000000e+02,1.313637881561368772e+02,1.181986538461538601e+02,1.355374872017601149e+02
1.050000000000000000e+02,1.143117271975869471e+02,1.073880769230769090e+02,1.165067091751759847e+02
1.050000000000000000e+02,1.143117271975869471e+02,1.073880769230769090e+02,1.165067091751759847e+02
1.050000000000000000e+02,1.143117271975869471e+02,1.073880769230769090e+02,1.165067091751759847e+02
1.050000000000000000e+02,1.143117271975869471e+02,1.073880769230769090e+02,1.165067091751759847e+02
1.060000000000000000e+02,9.998362794690467581e+01,9.830442307692305803e+01,1.005159807203916671e+02
1.060000000000000000e+02,9.998362794690467581e+01,9.830442307692305803e+01,1.005159807203916671e+02
1.060000000000000000e+02,9.998362794690467581e+01,9.830442307692305803e+01,1.005159807203916671e+02
1.060000000000000000e+02,9.998362794690467581e+01,9.830442307692305803e+01,1.005159807203916671e+02
1.070000000000000000e+02,8.550598380513352481e+01,8.912596153846155289e+01,8.435835422118680071e+01
1.070000000000000000e+02,8.550598380513352481e+01,8.912596153846155289e+01,8.435835422118680071e+01
1.070000000000000000e+02,8.550598380513352481e+01,8.912596153846155289e+01,8.435835422118680071e+01
1.070000000000000000e+02,8.550598380513352481e+01,8.912596153846155289e+01,8.435835422118680071e+01
1.080000000000000000e+02,7.374350461293056469e+01,8.166884615384616097e+01,7.123095976175689259e+01
