Time,Nominal,Moderate,Data
20.25,158.409263339434,135.201764823717,171.091477875568
20.5,127.926364570203,116.146380208333,126.934435106337
20.75,108.773648685588,104.17368790064,99.190115221722
21,165.460850040185,139.413495592948,188.677475982891
21.25,130.537860867108,117.582534054487,138.088588809814
21.5,117.431088078646,109.389264823717,119.102326021353
21.75,93.4023635401852,94.3684955929487,84.2946974828915
22,142.676994528041,125.032726362179,160.861236669215
22.25,111.675116162657,105.652918669871,115.952408303831
22.5,96.9040401049649,96.4192648237179,94.555262246139
22.75,74.030791181888,82.1208032852563,61.421437323062
23,118.040131885698,109.496764823717,130.242335961672
23.25,98.307217116468,97.1613802083333,101.657549192441
23.5,80.4336459626218,85.9883032852564,75.7661780385951
23.75,63.6343348856987,75.4867648237179,51.430962961672
24,100.399269651396,98.3912079326923,107.614585987848
24.25,86.3865129206275,89.6315925480769,87.3159292570796
24.5,73.6442871513968,81.6662079326923,68.8577434878488
24.75,59.9203993244737,73.0871694711538,48.9775376609257
25,91.3647740966706,92.6927463942307,96.4361759777565
25.25,76.639843231286,83.487938701923,75.1058751123719
25.5,70.7492556159014,79.8056310096153,66.5728634969872
25.75,64.7368446928245,76.0471694711538,57.8633805739103
26,76.6599855378622,83.4692848557692,76.3081031550652
26.25,68.1588105763237,78.1550540865384,63.9934361935268
26.5,68.1661938070929,78.1596694711538,64.004131424296
26.75,65.905079384016,76.7462079326923,60.7287170012191
27,63.8185641881709,75.4369771634615,57.8907206624862
27.25,66.6694141689401,77.2190925480769,62.0204166432554
27.5,73.8689870727863,81.7196694711538,72.4496035471016
27.75,81.8748703035555,86.7242848557692,84.0467987778708
28,59.4407235323482,72.7715925480769,48.8729947708346
28.25,70.7364513400405,79.8327463942307,65.2358065785269
28.5,89.5215438592712,91.5756310096153,92.4475930977577
28.75,105.932927686194,101.834669471153,116.22086292468
29,69.9389689100984,79.5902463942307,54.4687162165698
29.25,94.0295280062522,94.6496694711538,89.3659173127237
29.5,118.154234544713,109.730438701923,124.312583851185
29.75,143.340588140867,125.474861778846,160.797135447339
30,109.754941731189,104.795631009615,100.291732969331
30.25,138.69013075042,122.883515624999,142.206787988562
