Time,Data
2025-03-28:POS_085,1869.28
2025-03-28:POS_086,1893.13
2025-03-28:POS_087,1894.5
2025-03-28:POS_088,1894.19
2025-03-28:POS_089,1896.51
2025-03-28:POS_090,1892.14
2025-03-28:POS_091,1895.06
2025-03-28:POS_092,1891.31
2025-03-28:POS_093,1894.42
2025-03-28:POS_094,1830.79
2025-03-28:POS_095,1824.94
2025-03-28:POS_096,1808.74
2025-03-29:POS_001,1786.74
2025-03-29:POS_002,1764.46
2025-03-29:POS_003,1804.76
2025-03-29:POS_004,1673.96
2025-03-29:POS_005,1673.3
2025-03-29:POS_006,1665.83
2025-03-29:POS_007,1669.24
2025-03-29:POS_008,1672.11
2025-03-29:POS_009,1670.11
2025-03-29:POS_010,1667.51
2025-03-29:POS_011,1671.88
2025-03-29:POS_012,1670.71
2025-03-29:POS_013,1667.29
2025-03-29:POS_014,1665.43
2025-03-29:POS_015,1665.05
2025-03-29:POS_016,1602.33
2025-03-29:POS_017,1595.74
2025-03-29:POS_018,1626.16
2025-03-29:POS_019,1627.24
2025-03-29:POS_020,1629.13
2025-03-29:POS_021,1628.76
2025-03-29:POS_022,1624.71
2025-03-29:POS_023,1625.82
2025-03-29:POS_024,1629.34
2025-03-29:POS_025,1609.21
2025-03-29:POS_026,1604.45
2025-03-29:POS_027,1606.16
2025-03-29:POS_028,1607.94
2025-03-29:POS_029,1610.02
2025-03-29:POS_030,1607.36
2025-03-29:POS_031,1606.31
2025-03-29:POS_032,1589.45
2025-03-29:POS_033,1554.81
2025-03-29:POS_034,1577.89
2025-03-29:POS_035,1546.23
2025-03-29:POS_036,1531.14
2025-03-29:POS_037,1532.37
2025-03-29:POS_038,1529.46
2025-03-29:POS_039,1518.55
2025-03-29:POS_040,1518.95
2025-03-29:POS_041,1518.92
2025-03-29:POS_042,1514.83
2025-03-29:POS_043,1514.17
2025-03-29:POS_044,1508.67
2025-03-29:POS_045,1484.33
2025-03-29:POS_046,1486.45
2025-03-29:POS_047,1455.08
2025-03-29:POS_048,1485.06
2025-03-29:POS_049,1280.34
2025-03-29:POS_050,1277.97
2025-03-29:POS_051,1268.89
2025-03-29:POS_052,1273.57
2025-03-29:POS_053,1273.96
2025-03-29:POS_054,1276.09
2025-03-29:POS_055,1258.67
2025-03-29:POS_056,1261.58
2025-03-29:POS_057,1262.18
2025-03-29:POS_058,1264.63
2025-03-29:POS_059,1256.08
2025-03-29:POS_060,1259.51
